YNBZGQPEDOLZPGVZBBDF;2018;B-CPE-110;-42.0;
HRUFOBKUDFKPRNVWBFJU;2018;B-FRE-100;-21.0;
HRUFOBKUDFKPRNVWBFJU;2018;B-MUL-100;-9.0;
HRUFOBKUDFKPRNVWBFJU;2018;B-MUL-100;-21.0;
HRUFOBKUDFKPRNVWBFJU;2018;B-MUL-100;-21.0;
HRUFOBKUDFKPRNVWBFJU;2018;B-MUL-100;-21.0;
HRUFOBKUDFKPRNVWBFJU;2018;B-CPE-111;-21.0;
HRUFOBKUDFKPRNVWBFJU;2018;B-PCP-000;-21.0;
PVYADAQAYCANTLCRLRSG;2018;B-CPE-100;-21.0;
PVYADAQAYCANTLCRLRSG;2018;B-CPE-101;-21.0;
PVYADAQAYCANTLCRLRSG;2018;B-CPE-111;-21.0;
JFHSBGOAFRKKDAOUYDWB;2018;B-CPE-100;-42.0;
IMHIMHZNXEAWZODQRRUL;2018;B-CPE-130;-12.0;
PEUMVAFACXKZUKNBJDVV;2018;B-CPE-100;-42.0;
PEUMVAFACXKZUKNBJDVV;2018;B-MUL-100;-21.0;
PEUMVAFACXKZUKNBJDVV;2018;B-PCP-000;-21.0;
WLYVYVYZKBTYJMJNJAFH;2018;B-CPE-101;-21.0;
WLYVYVYZKBTYJMJNJAFH;2018;B-FRE-100;-21.0;
WLYVYVYZKBTYJMJNJAFH;2018;B-ANG-001;-21.0;
ILOPUAYWAUSLDUVTYAIG;2018;B-FRE-100;-21.0;
ILOPUAYWAUSLDUVTYAIG;2018;B-PSU-101;-21.0;
XIQLQVNEEFXYWPXKNASR;2018;B-PCP-000;-21.0;
WQBXWAVDBDDDZDSREOSM;2018;B-CPE-100;-84.0;
WQBXWAVDBDDDZDSREOSM;2018;B-CPE-100;-84.0;
WQBXWAVDBDDDZDSREOSM;2018;B-CPE-110;-21.0;
WQBXWAVDBDDDZDSREOSM;2018;B-CPE-130;-21.0;
IHPWFXZNRFDOVCNDDMXO;2018;B-CPE-100;-21.0;
IHPWFXZNRFDOVCNDDMXO;2018;B-MUL-100;-1.0;
AKYUDJGUGZQSQYVTLLVZ;2018;B-CPE-110;-21.0;
IYHZRZTIIEQPGEBHKIAK;2018;B-CPE-101;-42.0;
IYHZRZTIIEQPGEBHKIAK;2018;G-CUS-000;-21.0;
IYHZRZTIIEQPGEBHKIAK;2018;B-ANG-001;-21.0;
